from,to
C00288-K1,REG-204
C00523-K1,REG-330
C00555-K1,REG-299
C00679-K1,REG-226
C00685-K1,REG-264
C00704-K1,REG-264
C00712-K1,REG-184
C00750-K2,REG-299
C00750-K2,REG-330
C00750-K2,REG-272
C00750-K2,REG-191
C00750-K2,REG-204
C00854-K2,REG-325
C00854-K2,REG-204
C00854-K2,REG-299
C00854-K2,REG-330
C00889-K2,REG-204
C00941-K1,REG-325
C00952-K1,REG-204
C00952-K1,REG-272
C00960-K1,REG-184
C00989-K1,REG-330
C01104-K2,REG-204
C01109-K2,REG-299
C01144-K1,REG-299
C01155-K2,REG-204
C01239-K1,REG-325
C01289-K1,REG-472
C01367-K1,REG-337
C01387-K1,REG-231
C01419-K1,REG-177
C01909-K2,REG-194
C01952-K1,REG-299
C01961-K1,REG-337
C01982-K2,REG-330
C01983-K1,REG-126
C01983-K1,REG-299
C01996-K2,REG-441
C01996-K2,REG-387
C02079-K1,REG-299
C02171-K1,REG-158
C02214-K1,REG-441
C02222-K1,REG-432
C02231-K1,REG-325
C02250-K2,REG-251
C02254-K1,REG-315
C02354-K1,REG-325
C02354-K1,REG-264
C02354-K1,REG-308
C02354-K1,REG-126
C02354-K2,REG-330
C02354-K2,REG-325
C02354-K2,REG-204
C02354-K2,REG-126
C02354-K2,REG-231
C02354-K2,REG-308
C02354-K2,REG-441
C02354-K2,REG-123
C02354-K2,REG-299
C02354-K2,REG-272
C02354-K2,REG-337
C02354-K2,REG-205
C02354-K2,REG-264
C02354-K2,REG-178
C02354-K2,REG-478
C02354-K2,REG-387
C02354-K2,REG-310
C02354-K2,REG-315
C02354-K2,REG-472
C02354-K2,REG-226
C02354-K2,REG-225
C02354-K2,REG-220
C02354-K2,REG-143
C02354-K2,REG-476
C02354-K2,REG-170
C02354-K2,REG-269
C02354-K2,REG-502
C02354-K2,REG-294
C02354-K2,REG-499
C02354-K2,REG-327
C02354-K2,REG-469
C02354-K2,REG-184
C02354-K2,REG-494
C02354-K2,REG-324
C02354-K2,REG-348
C02354-K2,REG-444
C02354-K2,REG-512
C02354-K2,REG-191
C02360-K1,REG-264
C02483-K1,REG-310
C02716-K2,REG-181
C02716-K2,REG-110
C02716-K2,REG-325
C02716-K2,REG-299
C02716-K2,REG-476
C02716-K2,REG-469
C02848-K1,REG-310
C02859-K1,REG-299
C02910-K1,REG-126
C02923-K1,REG-330
C02923-K1,REG-272
C02923-K1,REG-299
C02923-K1,REG-126
C02923-K1,REG-324
C02975-K1,REG-348
C03019-K2,REG-191
C03040-K2,REG-143
C03040-K2,REG-299
C03040-K2,REG-337
C03040-K2,REG-181
C03042-K1,REG-330
C03042-K1,REG-337
C03042-K1,REG-325
C03042-K1,REG-177
C03042-K1,REG-299
C03042-K1,REG-272
C03042-K1,REG-143
C03042-K1,REG-387
C03042-K1,REG-184
C03042-K1,REG-264
C03042-K1,REG-126
C03042-K1,REG-476
C03042-K1,REG-225
C03042-K1,REG-204
C03042-K1,REG-472
C03042-K1,REG-231
C03042-K1,REG-170
C03042-K1,REG-315
C03042-K1,REG-123
C03042-K1,REG-433
C03042-K1,REG-485
C03042-K1,REG-327
C03043-K1,REG-337
C03125-K2,REG-315
C03182-K1,REG-441
C03218-K2,REG-299
C03247-K1,REG-436
C03278-K2,REG-315
C03279-K1,REG-469
C03318-K1,REG-310
C03318-K1,REG-330
C03351-K2,REG-126
C03405-K2,REG-299
C03474-K1,REG-494
C03575-K2,REG-184
C03575-K2,REG-204
C03575-K2,REG-330
C03676-K2,REG-315
C03684-K1,REG-194
C03738-K2,REG-441
C03848-K1,REG-327
C03999-K1,REG-299
C04046-K2,REG-264
C04046-K2,REG-387
C04108-K2,REG-204
C04108-K2,REG-441
C04108-K2,REG-315
C04108-K2,REG-337
C04125-K2,REG-299
C04125-K2,REG-204
C04125-K2,REG-441
C04274-K1,REG-327
C04274-K1,REG-123
C04565-K1,REG-337
C04570-K1,REG-225
C04570-K1,REG-310
C04570-K1,REG-299
C04570-K1,REG-315
C04570-K1,REG-330
C04570-K1,REG-325
C04570-K1,REG-327
C04570-K1,REG-469
C04570-K1,REG-441
C04570-K1,REG-226
C04570-K1,REG-204
C04570-K1,REG-264
C04570-K1,REG-387
C04570-K1,REG-126
C04570-K1,REG-123
C04570-K1,REG-420
C04576-K1,REG-330
C04627-K1,REG-299
C04776-K1,REG-441
C04798-K2,REG-177
C04965-K2,REG-123
C04965-K2,REG-420
C05052-K1,REG-330
C05078-K1,REG-324
C05079-K1,REG-205
C05086-K1,REG-299
C05146-K1,REG-310
C05244-K1,REG-299
C05245-K2,REG-337
C05448-K1,REG-330
C05508-K1,REG-330
C05546-K1,REG-337
C05560-K2,REG-299
C05560-K2,REG-330
C05560-K2,REG-325
C05560-K2,REG-387
C05704-K2,REG-469
C05704-K2,REG-225
C05704-K2,REG-325
C05809-K1,REG-194
C05809-K1,REG-512
C05868-K1,REG-110
C05868-K1,REG-299
C05868-K1,REG-325
C05876-K1,REG-123
C05876-K1,REG-330
C05876-K1,REG-264
C05876-K2,REG-204
C05876-K2,REG-184
C05876-K2,REG-272
C05876-K2,REG-325
C05876-K2,REG-203
C05876-K2,REG-181
C05876-K2,REG-472
C05876-K2,REG-436
C05876-K2,REG-299
C05876-K2,REG-264
C05876-K2,REG-494
C05876-K2,REG-251
C05876-K2,REG-308
C05876-K2,REG-123
C05876-K2,REG-330
C05876-K2,REG-441
C05876-K2,REG-476
C05876-K2,REG-122
C05876-K2,REG-310
C05876-K2,REG-315
C05876-K2,REG-485
C05876-K2,REG-226
C05876-K2,REG-327
C05876-K2,REG-225
C05876-K2,REG-126
C05876-K2,REG-337
C05876-K2,REG-143
C05876-K2,REG-433
C05876-K2,REG-231
C05876-K2,REG-191
C05876-K2,REG-512
C05876-K2,REG-269
C05876-K2,REG-220
C05876-K2,REG-205
C05876-K2,REG-498
C05876-K2,REG-324
C05876-K2,REG-110
C05876-K2,REG-177
C05876-K2,REG-194
C05876-K2,REG-429
C05876-K2,REG-444
C05876-K2,REG-420
C05992-K1,REG-123
C06005-K1,REG-472
C06031-K2,REG-203
C06104-K1,REG-264
C06208-K1,REG-299
C06220-K1,REG-123
C06224-K2,REG-299
C06224-K2,REG-204
C06224-K2,REG-420
C06224-K2,REG-337
C06224-K2,REG-441
C06224-K2,REG-327
C06224-K2,REG-387
C06224-K2,REG-310
C06224-K2,REG-330
C06224-K2,REG-469
C06224-K2,REG-123
C06224-K2,REG-325
C06224-K2,REG-225
C06224-K2,REG-264
C06514-K1,REG-203
C06669-K1,REG-184
C06710-K1,REG-441
C06947-K2,REG-225
C06948-K1,REG-231
C06976-K1,REG-126
C07033-K1,REG-181
C07069-K1,REG-264
C07102-K1,REG-204
C07171-K2,REG-330
C07185-K2,REG-476
C07196-K2,REG-476
