from,to
C00027-K1,3553105
C00073-K2,3528265
C00140-K1,3525374
C00140-K1,3525381
C00140-K1,3525391
C00215-K1,3535752
C00215-K1,3535753
C00215-K1,3535754
C00215-K1,3535755
C00215-K1,3535765
C00215-K1,3535818
C00253-K1,3546602
C00259-K1,3532014
C00259-K1,3545953
C00259-K1,3546047
C00288-K1,3468226
C00294-K2,3531326
C00294-K2,3531517
C00294-K2,3535982
C00294-K2,3535986
C00294-K2,3536661
C00294-K2,3538149
C00294-K2,3538170
C00294-K2,3538190
C00294-K2,3538501
C00294-K2,3539910
C00294-K2,3540864
C00294-K2,3541887
C00294-K2,3543146
C00294-K2,3544386
C00294-K2,3544406
C00294-K2,3544764
C00294-K2,3544790
C00294-K2,3545339
C00294-K2,3545374
C00294-K2,3553003
C00319-K1,3544579
C00426-K2,3526821
C00426-K2,3528189
C00426-K2,3545756
C00426-K2,3545777
C00426-K2,3545823
C00426-K2,3545852
C00426-K2,3553280
C00426-K2,3560397
C00466-K1,3532754
C00523-K1,3524763
C00555-K1,3492059
C00583-K1,3560206
C00606-K1,3575895
C00679-K1,3488844
C00685-K1,3455135
C00704-K1,3524941
C00712-K1,3468491
C00750-K2,3431552
C00750-K2,3434965
C00750-K2,3441122
C00750-K2,3446555
C00750-K2,3467528
C00750-K2,3508325
C00750-K2,3528420
C00788-K1,3522696
C00841-K1,3563120
C00854-K2,3451963
C00854-K2,3452470
C00854-K2,3452483
C00854-K2,3455778
C00854-K2,3456986
C00854-K2,3468912
C00854-K2,3509470
C00854-K2,3516942
C00854-K2,3531451
C00889-K2,3562337
C00927-K1,3516410
C00939-K1,3535481
C00941-K1,3488736
C00941-K1,3488761
C00952-K1,3454159
C00952-K1,3454616
C00952-K1,3542119
C00960-K1,3444352
C00978-K1,3520683
C00978-K1,3566575
C00989-K1,3494965
C01002-K1,3529379
C01002-K1,3529926
C01002-K1,3529938
C01002-K1,3535543
C01104-K2,3513647
C01109-K2,3460184
C01109-K2,3524314
C01109-K2,3524322
C01109-K2,3524323
C01109-K2,3543849
C01109-K2,3543909
C01144-K1,3493293
C01155-K2,3462159
C01155-K2,3462193
C01155-K2,3550533
C01187-K1,3568155
C01187-K1,3571568
C01239-K1,3432417
C01239-K1,3432422
C01239-K1,3432424
C01239-K1,3432433
C01289-K1,3467346
C01367-K1,3468225
C01387-K1,3447265
C01419-K1,3491334
C01433-K1,3525547
C01521-K2,3526534
C01521-K2,3536199
C01521-K2,3545720
C01521-K2,3545748
C01521-K2,3558128
C01525-K2,3522034
C01525-K2,3532418
C01525-K2,3540972
C01525-K2,3541259
C01525-K2,3541260
C01890-K1,3538210
C01909-K2,3445800
C01952-K1,3432821
C01961-K1,3460675
C01982-K2,3472754
C01983-K1,3513574
C01983-K1,3555244
C01996-K2,3462447
C01996-K2,3496814
C02031-K1,3533059
C02079-K1,3462917
C02095-K1,3574893
C02123-K1,3533907
C02147-K1,3535304
C02147-K1,3535349
C02147-K2,3531921
C02147-K2,3536021
C02147-K2,3536649
C02147-K2,3536677
C02147-K2,3537012
C02147-K2,3537904
C02147-K2,3538466
C02147-K2,3538557
C02147-K2,3539463
C02147-K2,3539490
C02147-K2,3540426
C02147-K2,3540553
C02147-K2,3540764
C02147-K2,3543599
C02147-K2,3543867
C02147-K2,3544230
C02147-K2,3552900
C02147-K2,3552911
C02147-K2,3556915
C02147-K2,3567884
C02147-K2,3567896
C02147-K2,3574728
C02171-K1,3503256
C02181-K2,3544244
C02181-K2,3549708
C02181-K2,3551076
C02214-K1,3467167
C02222-K1,3570476
C02228-K1,3525877
C02228-K1,3545407
C02228-K1,3545475
C02231-K1,3432914
C02231-K1,3444049
C02247-K1,3548511
C02250-K2,3506263
C02254-K1,3521292
C02289-K1,3561154
C02315-K1,3521468
C02315-K1,3521480
C02354-K1,3310782
C02354-K1,3310809
C02354-K1,3311203
C02354-K1,3311243
C02354-K1,3523384
C02354-K1,3523392
C02354-K1,3523535
C02354-K1,3523668
C02354-K1,3523709
C02354-K1,3523768
C02354-K1,3524102
C02354-K1,3524115
C02354-K2,3000053
C02354-K2,3000110
C02354-K2,3000260
C02354-K2,3000377
C02354-K2,3000429
C02354-K2,3000487
C02354-K2,3000513
C02354-K2,3000523
C02354-K2,3000529
C02354-K2,3000601
C02354-K2,3000623
C02354-K2,3000659
C02354-K2,3000664
C02354-K2,3000667
C02354-K2,3000670
C02354-K2,3000704
C02354-K2,3000706
C02354-K2,3000713
C02354-K2,3000742
C02354-K2,3000814
C02354-K2,3000855
C02354-K2,3000943
C02354-K2,3000962
C02354-K2,3001000
C02354-K2,3001053
C02354-K2,3001089
C02354-K2,3001098
C02354-K2,3001111
C02354-K2,3001172
C02354-K2,3001176
C02354-K2,3001232
C02354-K2,3001265
C02354-K2,3001309
C02354-K2,3001318
C02354-K2,3001332
C02354-K2,3001344
C02354-K2,3001346
C02354-K2,3001360
C02354-K2,3001393
C02354-K2,3001457
C02354-K2,3001460
C02354-K2,3001662
C02354-K2,3001764
C02354-K2,3001775
C02354-K2,3001887
C02354-K2,3001924
C02354-K2,3002057
C02354-K2,3002076
C02354-K2,3002165
C02354-K2,3002173
C02354-K2,3002181
C02354-K2,3002231
C02354-K2,3002248
C02354-K2,3002577
C02354-K2,3002693
C02354-K2,3002805
C02354-K2,3003253
C02354-K2,3003254
C02354-K2,3003299
C02354-K2,3003301
C02354-K2,3003423
C02354-K2,3003526
C02354-K2,3003547
C02354-K2,3003834
C02354-K2,3003860
C02354-K2,3003880
C02354-K2,3003882
C02354-K2,3003904
C02354-K2,3003910
C02354-K2,3004026
C02354-K2,3004104
C02354-K2,3004117
C02354-K2,3004235
C02354-K2,3004267
C02354-K2,3004273
C02354-K2,3004371
C02354-K2,3004493
C02354-K2,3004547
C02354-K2,3004660
C02354-K2,3004663
C02354-K2,3004694
C02354-K2,3004816
C02354-K2,3004819
C02354-K2,3004844
C02354-K2,3004972
C02354-K2,3004977
C02354-K2,3005059
C02354-K2,3005130
C02354-K2,3005143
C02354-K2,3005214
C02354-K2,3005394
C02354-K2,3005445
C02354-K2,3005621
C02354-K2,3005800
