id,customer_id
C00027-K1,C00027
C00073-K2,C00073
C00140-K1,C00140
C00215-K1,C00215
C00253-K1,C00253
C00259-K1,C00259
C00288-K1,C00288
C00294-K2,C00294
C00319-K1,C00319
C00426-K2,C00426
C00466-K1,C00466
C00523-K1,C00523
C00555-K1,C00555
C00583-K1,C00583
C00606-K1,C00606
C00679-K1,C00679
C00685-K1,C00685
C00704-K1,C00704
C00712-K1,C00712
C00750-K2,C00750
C00788-K1,C00788
C00841-K1,C00841
C00854-K2,C00854
C00889-K2,C00889
C00927-K1,C00927
C00939-K1,C00939
C00941-K1,C00941
C00952-K1,C00952
C00960-K1,C00960
C00978-K1,C00978
C00989-K1,C00989
C01002-K1,C01002
C01104-K2,C01104
C01109-K2,C01109
C01144-K1,C01144
C01155-K2,C01155
C01187-K1,C01187
C01239-K1,C01239
C01289-K1,C01289
C01367-K1,C01367
C01387-K1,C01387
C01419-K1,C01419
C01433-K1,C01433
C01521-K2,C01521
C01525-K2,C01525
C01890-K1,C01890
C01909-K2,C01909
C01952-K1,C01952
C01961-K1,C01961
C01982-K2,C01982
C01983-K1,C01983
C01996-K2,C01996
C02031-K1,C02031
C02079-K1,C02079
C02095-K1,C02095
C02123-K1,C02123
C02147-K1,C02147
C02147-K2,C02147
C02171-K1,C02171
C02181-K2,C02181
C02214-K1,C02214
C02222-K1,C02222
C02228-K1,C02228
C02231-K1,C02231
C02247-K1,C02247
C02250-K2,C02250
C02254-K1,C02254
C02289-K1,C02289
C02315-K1,C02315
C02354-K1,C02354
C02354-K2,C02354
C02360-K1,C02360
C02412-K1,C02412
C02456-K1,C02456
C02483-K1,C02483
C02545-K2,C02545
C02618-K1,C02618
C02618-K2,C02618
C02639-K1,C02639
C02689-K1,C02689
C02702-K2,C02702
C02716-K2,C02716
C02782-K1,C02782
C02782-K2,C02782
C02848-K1,C02848
C02851-K2,C02851
C02859-K1,C02859
C02881-K1,C02881
C02897-K1,C02897
C02898-K1,C02898
C02910-K1,C02910
C02916-K1,C02916
C02923-K1,C02923
C02975-K1,C02975
C02982-K1,C02982
C03019-K2,C03019
C03040-K2,C03040
C03042-K1,C03042
C03043-K1,C03043
C03047-K2,C03047
C03075-K1,C03075
C03081-K1,C03081
C03095-K2,C03095
C03125-K2,C03125
C03157-K1,C03157
C03157-K2,C03157
C03180-K1,C03180
C03182-K1,C03182
C03201-K1,C03201
C03218-K2,C03218
C03247-K1,C03247
C03278-K2,C03278
C03279-K1,C03279
C03318-K1,C03318
C03351-K2,C03351
C03397-K1,C03397
C03402-K1,C03402
C03405-K2,C03405
C03474-K1,C03474
C03488-K2,C03488
C03530-K1,C03530
C03573-K1,C03573
C03575-K2,C03575
C03676-K2,C03676
C03684-K1,C03684
C03729-K1,C03729
C03738-K2,C03738
C03815-K1,C03815
C03848-K1,C03848
C03938-K1,C03938
C03999-K1,C03999
C04004-K1,C04004
C04021-K1,C04021
C04034-K2,C04034
C04046-K2,C04046
C04083-K1,C04083
C04108-K2,C04108
C04125-K2,C04125
C04154-K1,C04154
C04177-K1,C04177
C04179-K1,C04179
C04198-K1,C04198
C04248-K2,C04248
C04274-K1,C04274
C04386-K1,C04386
C04536-K1,C04536
C04565-K1,C04565
C04570-K1,C04570
C04576-K1,C04576
C04597-K2,C04597
C04627-K1,C04627
C04655-K1,C04655
C04680-K1,C04680
C04740-K1,C04740
C04776-K1,C04776
C04798-K2,C04798
C04965-K2,C04965
C04984-K2,C04984
C04993-K1,C04993
C05021-K1,C05021
C05022-K1,C05022
C05027-K1,C05027
C05031-K2,C05031
C05052-K1,C05052
C05078-K1,C05078
C05079-K1,C05079
C05086-K1,C05086
C05121-K1,C05121
C05146-K1,C05146
C05244-K1,C05244
C05245-K2,C05245
C05290-K1,C05290
C05307-K2,C05307
C05381-K1,C05381
C05381-K2,C05381
C05423-K1,C05423
C05448-K1,C05448
C05485-K1,C05485
C05508-K1,C05508
C05546-K1,C05546
C05560-K2,C05560
C05569-K1,C05569
C05595-K1,C05595
C05630-K1,C05630
C05678-K1,C05678
C05690-K1,C05690
C05704-K2,C05704
C05793-K1,C05793
C05809-K1,C05809
C05868-K1,C05868
C05876-K1,C05876
C05876-K2,C05876
C05992-K1,C05992
C05996-K1,C05996
C06005-K1,C06005
C06031-K2,C06031
C06049-K1,C06049
C06104-K1,C06104
C06181-K1,C06181
C06208-K1,C06208
C06220-K1,C06220
C06224-K2,C06224
C06279-K1,C06279
C06339-K1,C06339
C06410-K1,C06410
C06464-K1,C06464
C06514-K1,C06514
C06598-K1,C06598
C06630-K1,C06630
C06630-K2,C06630
C06636-K1,C06636
C06651-K1,C06651
C06663-K2,C06663
C06669-K1,C06669
C06710-K1,C06710
C06740-K1,C06740
C06744-K2,C06744
C06856-K1,C06856
C06860-K1,C06860
C06906-K1,C06906
C06940-K1,C06940
C06947-K2,C06947
C06948-K1,C06948
C06976-K1,C06976
C07033-K1,C07033
C07069-K1,C07069
C07102-K1,C07102
C07134-K2,C07134
C07171-K2,C07171
C07185-K2,C07185
C07196-K2,C07196
C07207-K1,C07207
C07212-K2,C07212
C07214-K1,C07214
C07220-K1,C07220
C07297-K1,C07297
C07297-K2,C07297
C07304-K1,C07304
C07311-K1,C07311
C07468-K1,C07468
C07474-K1,C07474
C07508-K2,C07508
C07518-K2,C07518
C07562-K1,C07562
C07562-K2,C07562
C07576-K1,C07576
C07594-K1,C07594
C07612-K1,C07612
C07628-K1,C07628
C07671-K1,C07671
C07671-K2,C07671
C07686-K1,C07686
C07718-K1,C07718
C07735-K1,C07735
C07741-K2,C07741
C07761-K1,C07761
C07847-K2,C07847
C07858-K2,C07858
C07969-K1,C07969
C07981-K1,C07981
C07987-K1,C07987
C07987-K2,C07987
C07989-K1,C07989
C07997-K1,C07997
C08000-K1,C08000
C08083-K1,C08083
C08087-K1,C08087
C08106-K1,C08106
C08123-K1,C08123
C08168-K1,C08168
C08174-K1,C08174
C08187-K1,C08187
C08281-K2,C08281
C08290-K1,C08290
C08290-K2,C08290
C08299-K1,C08299
C08363-K1,C08363
C08366-K1,C08366
C08374-K1,C08374
C08391-K2,C08391
C08431-K1,C08431
C08450-K2,C08450
C08489-K2,C08489
C08496-K1,C08496
C08531-K1,C08531
C08537-K1,C08537
C08592-K1,C08592
C08605-K1,C08605
C08623-K1,C08623
C08623-K2,C08623
C08737-K1,C08737
C08832-K1,C08832
C08833-K1,C08833
C08918-K2,C08918
C08922-K1,C08922
C08924-K1,C08924
C08943-K2,C08943
C08962-K1,C08962
C08962-K2,C08962
C08989-K2,C08989
C09049-K1,C09049
C09132-K1,C09132
C09165-K2,C09165
C09195-K1,C09195
C09241-K2,C09241
C09249-K1,C09249
C09251-K1,C09251
C09274-K1,C09274
C09287-K1,C09287
C09289-K1,C09289
C09301-K2,C09301
C09340-K1,C09340
C09347-K1,C09347
C09354-K1,C09354
C09365-K2,C09365
C09443-K1,C09443
C09468-K2,C09468
C09470-K1,C09470
C09471-K2,C09471
C09514-K1,C09514
C09522-K1,C09522
C09565-K1,C09565
C09588-K1,C09588
C09589-K1,C09589
C09616-K1,C09616
C09657-K1,C09657
C09657-K2,C09657
C09684-K1,C09684
C09742-K2,C09742
C09791-K1,C09791
C09800-K2,C09800
C09804-K1,C09804
C09835-K1,C09835
C09854-K1,C09854
C09873-K1,C09873
C09906-K1,C09906
C09933-K1,C09933
C09933-K2,C09933
C09940-K1,C09940
C09975-K1,C09975
C09981-K2,C09981
C09988-K1,C09988
C10020-K1,C10020
C10026-K1,C10026
C10031-K1,C10031
C10068-K1,C10068
C10114-K1,C10114
C10193-K2,C10193
C10245-K1,C10245
C10308-K1,C10308
C10317-K1,C10317
C10320-K1,C10320
C10349-K1,C10349
C10366-K1,C10366
C10390-K1,C10390
C10434-K1,C10434
C10448-K1,C10448
C10475-K1,C10475
C10553-K1,C10553
C10630-K1,C10630
C10640-K1,C10640
C10644-K1,C10644
C10680-K1,C10680
C10760-K2,C10760
C10770-K1,C10770
C10791-K1,C10791
C10837-K2,C10837
C10842-K1,C10842
C10936-K1,C10936
C10949-K1,C10949
C10957-K1,C10957
C10957-K2,C10957
C10993-K1,C10993
C11000-K2,C11000
C11005-K1,C11005
C11074-K1,C11074
C11082-K1,C11082
C11137-K1,C11137
C11143-K1,C11143
C11159-K1,C11159
C11193-K1,C11193
C11227-K2,C11227
C11230-K2,C11230
C11309-K1,C11309
C11352-K1,C11352
C11385-K1,C11385
C11444-K1,C11444
C11464-K2,C11464
C11496-K2,C11496
C11509-K1,C11509
C11509-K2,C11509
C11543-K2,C11543
C11595-K1,C11595
C11597-K1,C11597
C11597-K2,C11597
C11627-K1,C11627
C11637-K1,C11637
C11642-K1,C11642
C11670-K2,C11670
C11702-K1,C11702
C11709-K2,C11709
C11786-K1,C11786
C11787-K1,C11787
C11807-K1,C11807
C11833-K1,C11833
C11844-K2,C11844
C11847-K1,C11847
C11847-K2,C11847
C11851-K1,C11851
C11859-K1,C11859
C11865-K1,C11865
C11891-K1,C11891
C11919-K2,C11919
C11923-K1,C11923
C11923-K2,C11923
C11929-K2,C11929
C11952-K1,C11952
C11965-K1,C11965
C11993-K1,C11993
C12028-K1,C12028
C12028-K2,C12028
C12086-K1,C12086
C12092-K2,C12092
C12098-K1,C12098
C12136-K2,C12136
C12150-K1,C12150
C12166-K2,C12166
C12211-K1,C12211
C12212-K1,C12212
C12265-K1,C12265
C12265-K2,C12265
C12267-K2,C12267
C12340-K1,C12340
C12382-K1,C12382
C12396-K1,C12396
C12585-K1,C12585
C12645-K1,C12645
C12657-K1,C12657
C12782-K1,C12782
C12796-K1,C12796
C12897-K1,C12897
C12961-K2,C12961
C12966-K1,C12966
C12983-K1,C12983
C12987-K1,C12987
C12993-K1,C12993
C13015-K1,C13015
C13086-K2,C13086
C13147-K1,C13147
C13148-K1,C13148
C13166-K1,C13166
C13171-K1,C13171
C13171-K2,C13171
C13180-K1,C13180
C13260-K1,C13260
C13291-K1,C13291
C13328-K1,C13328
C13349-K2,C13349
C13407-K1,C13407
C13440-K2,C13440
C13447-K1,C13447
C13487-K1,C13487
C13507-K1,C13507
