id,pattern,outcome,exposure_usd
CC-0001,card_not_present_fraud,confirmed_fraud,155.43
CC-0002,out_of_region_use,confirmed_fraud,117.05
CC-0003,none,cleared,0.0
CC-0004,out_of_region_use,confirmed_fraud,857.92
CC-0005,out_of_region_use,confirmed_fraud,39.92
CC-0006,out_of_region_use,confirmed_fraud,265.07
CC-0007,card_not_present_fraud,confirmed_fraud,99.91
CC-0008,account_takeover,confirmed_fraud,49.04
CC-0009,none,cleared,0.0
CC-0010,none,cleared,0.0
CC-0011,card_not_present_new_device,confirmed_fraud,149.95
CC-0012,card_not_present_fraud,confirmed_fraud,123.52
CC-0013,account_takeover,confirmed_fraud,261.95
CC-0014,card_not_present_fraud,confirmed_fraud,75.15
CC-0015,none,cleared,0.0
CC-0016,out_of_region_use,confirmed_fraud,68.46
CC-0017,none,cleared,0.0
CC-0018,card_not_present_new_device,confirmed_fraud,150.07
CC-0019,card_not_present_new_device,confirmed_fraud,225.09
CC-0020,account_takeover,confirmed_fraud,433.91
CC-0021,none,cleared,0.0
CC-0022,card_not_present_fraud,confirmed_fraud,100.04
CC-0023,none,cleared,0.0
CC-0024,account_takeover,confirmed_fraud,1894.06
CC-0025,account_takeover,confirmed_fraud,100.0
CC-0026,none,cleared,0.0
CC-0027,account_takeover,confirmed_fraud,59.06
CC-0028,card_not_present_fraud,confirmed_fraud,250.04
CC-0029,card_not_present_new_device,confirmed_fraud,600.08
CC-0030,out_of_region_use,confirmed_fraud,59.01
CC-0031,card_not_present_new_device,confirmed_fraud,20.36
CC-0032,none,cleared,0.0
CC-0033,account_takeover,confirmed_fraud,374.83
CC-0034,none,cleared,0.0
CC-0035,card_not_present_fraud,confirmed_fraud,150.05
CC-0036,account_takeover,confirmed_fraud,137.01
CC-0037,none,cleared,0.0
CC-0038,none,cleared,0.0
CC-0039,account_takeover,confirmed_fraud,170.93
CC-0040,none,cleared,0.0
CC-0041,out_of_region_use,confirmed_fraud,75.03
CC-0042,none,cleared,0.0
CC-0043,out_of_region_use,confirmed_fraud,87.01
