id,profile
DEV-0005e6825b10,LG-X230 Build/MRA58K | chrome generic for android
DEV-000891f7fbc7,Hisense L675 Build/MRA58K | chrome 59.0 for android
DEV-00111bb0c6ac,iOS Device | iOS 11.3.0 | mobile safari generic | 2001x1125
DEV-00272083526d,Linux x86_64 | firefox
DEV-005e542ed071,SM-G570M Build/MMB29K | chrome 64.0 for android
DEV-00617008b69c,SM-N950U Build/NMF26X | chrome 65.0 for android
DEV-008723448370,STUDIO_G_HD | chrome 52.0 for android
DEV-009bcaf52a6b,HUAWEI TAG-L13 Build/HUAWEITAG-L13 | chrome 65.0 for android
DEV-00a299d9b9ce,LG-H840 Build/MMB29M | chrome 64.0 for android
DEV-00f344b1a257,MacOS | Mac OS X 10_11_5 | safari generic | 1920x1080
DEV-00f51892f2ac,SM-G530H Build/LRX22G | chrome
DEV-01142e81a5f7,F80 PIABELLA Build/MRA58K | chrome 63.0 for android
DEV-01410b9be56a,HUAWEI VNS-L53 Build/HUAWEIVNS-L53 | other
DEV-014b3c3e3eb1,NX16A8116KP | Android 7.1.1 | chrome 64.0 for android | 1280x800
DEV-016688d9e66f,SM-G925I Build/NRD90M | chrome generic for android
DEV-0193b3d84521,WAS-LX3 Build/HUAWEIWAS-LX3 | chrome generic for android
DEV-01c4d493e978,Windows | chrome 64.0
DEV-01dcba30dd23,Moto G (4) Build/NPJS25.93-14-15 | chrome 66.0 for android
DEV-01e48697a377,Moto G (4) Build/NPJS25.93-14-18 | chrome 66.0 for android
DEV-022938e1d18e,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop | 1920x1080
DEV-022b3b2d7f90,MacOS | Mac OS X 10_12_6 | chrome 64.0 | 2560x1600
DEV-02306ebb4045,iOS Device | iOS 10.3.3 | mobile safari 10.0 | 1136x640
DEV-02311e27a080,LG-H870 Build/NRD90U | chrome 62.0 for android
DEV-0259f63bfdd1,GT-I9060M Build/KTU84P | chrome 59.0 for android
DEV-027ae7bd7f19,BLADE V8 Build/NRD90M | chrome 55.0 for android
DEV-02864b8dc41a,LG-H542 Build/MRA58K | chrome 63.0 for android
DEV-02c0130809d2,SAMSUNG SM-A310F Build/NRD90M | samsung browser 6.4
DEV-02c548b6c0dc,Windows | Windows 10 | chrome 63.0 | 1920x1080
DEV-02e3477921cf,Moto G (5) Build/NPP25.137-33 | chrome 66.0 for android
DEV-02e3c65bd581,iOS Device | iOS 11.2.2 | mobile safari generic | 2208x1242
DEV-02fcde859164,SM-J700M Build/LMY48B | chrome 63.0 for android
DEV-031b8e3e3b9d,Windows | edge 16.0
DEV-03ca70c43c1a,SM-G930T Build/NRD90M | android webview 4.0
DEV-0408b7884fa6,iOS Device | iOS 11.1.1 | mobile safari 11.0 | 1334x750
DEV-04091620d601,MotoG3-TE Build/MPDS24.65-33-1-30 | chrome 63.0 for android
DEV-042e20eddd99,rv:48.0 | Mac | firefox 48.0 | 1440x900
DEV-043321586900,rv:54.0 | firefox
DEV-043ac41b55e6,ALE-L23 Build/HuaweiALE-L23 | chrome 66.0 for android
DEV-04444c8bd89e,safari 11.0
DEV-04bd7ff6c42d,SM-J320M Build/LMY47V | chrome 59.0 for android
DEV-04c1e7f15d7c,WAS-LX3 Build/HUAWEIWAS-LX3 | chrome 65.0 for android
DEV-04c8faa85c23,LG-K580 Build/MRA58K | chrome 62.0 for android
DEV-04ca58dee3ef,SAMSUNG-SM-G890A Build/MMB29K | chrome 66.0 for android
DEV-054a1805ed17,SM-A530F Build/NMF26X | chrome generic for android
DEV-054ee040668e,Windows | Windows 10 | chrome 64.0 | 1600x900
DEV-05529bb1990a,Windows | Windows 10 | chrome 65.0 | 1366x768
DEV-05537e20e628,Moto E (4) Plus Build/NMA26.42-142 | chrome 66.0 for android
DEV-0555e2f98f35,XT1053 Build/LPAS23.12-21.7-1 | chrome 65.0 for android
DEV-0558ba47cd78,iOS Device | iOS 10.2.1 | mobile safari 10.0 | 2208x1242
DEV-05592ba981b2,SAMSUNG SM-G532M Build/MMB29T | samsung browser 6.2
DEV-05a8355beff5,SM-G530H Build/KTU84P | chrome generic
DEV-05cf81f74484,Mi A1 Build/N2G47H | chrome 63.0 for android
DEV-05d0b66e10a6,iOS Device | iOS 11.1.2 | mobile safari generic | 2208x1242
DEV-05e78768ed01,ALP-L09 Build/HUAWEIALP-L09 | chrome 65.0 for android
DEV-05ff62071b4f,MacOS | Mac | chrome 62.0 | 1920x1080
DEV-061d04f27019,SM-J105B Build/LMY47V | chrome 50.0 for android
DEV-06386f4a16d2,Moto G (5) Build/NPPS25.137-93-4 | chrome 65.0 for android
DEV-063ceea1ea37,iOS Device | iOS 11.0.2 | mobile safari generic | 1136x640
DEV-06485149d68b,SAMSUNG SM-J700M Build/MMB29K | samsung browser generic
DEV-064f0e03f4ca,Ilium X510 Build/MRA58K | chrome 65.0 for android
DEV-0667de43abd8,XT1063 Build/MPB24.65-34 | chrome 65.0 for android
DEV-06854cfdac40,CAM-L03 Build/HUAWEICAM-L03 | chrome 62.0 for android
DEV-06ca2cb4132d,SM-A500M Build/KTU84P | chrome 63.0 for android
DEV-06dbf5d943e0,LG-TP260 Build/NRD90U | Android 7.0 | chrome 61.0 for android | 1280x720
DEV-06e184aadd3b,Moto Z2 Play Build/NPSS26.118-19-14 | chrome 65.0 for android
DEV-06e814b14f63,rv:58.0 | firefox 58.0
DEV-06efc88addf1,Hisense F23 Build/NRD90M | chrome 62.0 for android
DEV-07913f3656c0,rv:57.0 | Mac OS X 10.10 | firefox 57.0 | 1280x800
DEV-0791799c85db,Windows | Windows 7 | chrome 63.0 | 1440x900
DEV-07a2bf7f9944,SM-G610M Build/MMB29K | chrome 64.0 for android
DEV-07c9ead0b22b,edge 15.0
DEV-07f6af06a1f1,MacOS | Mac OS X 10_13_2 | safari generic | 2560x1600
DEV-083513a073b7,SM-J700M Build/LMY48B | other
DEV-08394823f586,MacOS | Mac OS X 10_6_8 | chrome 49.0 | 1920x1080
DEV-08408478caac,MacOS | Mac OS X 10_13_1 | chrome 63.0 | 2880x1800
DEV-08428237c442,Windows | Windows 10 | chrome 63.0 | 1680x1050
DEV-085bd2985ab9,Linux x86_64 | firefox 58.0
DEV-08739864e6a0,SM-G900M Build/LRX21T | chrome 66.0 for android
DEV-08b8503a4c03,Linux | chrome 63.0
DEV-093a10a0edb5,SM-T820 Build/NRD90M | chrome 66.0 for android
DEV-0967230cfc13,SM-T560 Build/KTU84P | chrome 63.0 for android
DEV-0999988b7210,SM-A520F Build/NRD90M | chrome 62.0 for android
DEV-099d1915f2ea,HUAWEI CUN-L03 Build/HUAWEICUN-L03 | chrome 64.0 for android
DEV-09cb0310001f,SM-A520F Build/MMB29K | chrome 56.0 for android
DEV-09d25114cc9e,SM-G935F Build/NRD90M | chrome 65.0 for android
DEV-0a1f814f4913,Blade V6 Build/LRX22G | chrome 63.0 for android
DEV-0a7dc9278a19,SAMSUNG SM-T810 Build/NRD90M | samsung browser generic
DEV-0a933060e394,Lenovo PB1-750M Build/S100 | chrome 65.0 for android
DEV-0b35eeab6f66,Ilium L910 Build/MRA58K | chrome generic for android
DEV-0b631f82a59c,Linux | chrome 63.0 | 2560x1440
DEV-0b631fb6eb16,HTC One M9 Build/NRD90M | chrome 61.0 for android
DEV-0b7cbd0f7407,Moto C Plus Build/NRD90M.05.034 | chrome 58.0 for android
DEV-0b7ef47d5b4a,iOS Device | iOS 11.1.0 | mobile safari generic | 2208x1242
DEV-0b94252f187e,SM-J700M Build/MMB29K | chrome 60.0 for android
DEV-0be917a5f406,SM-T330NU Build/LMY47X | chrome 63.0 for android
DEV-0beec196c683,BLU STUDIO C 5+5 Build/LRX21M | chrome 64.0 for android
DEV-0bf10d4d0f67,SAMSUNG-SGH-I337 | chrome 63.0 for android
DEV-0bfbca1e3de5,SM-A310M Build/LMY47X | chrome 64.0 for android
DEV-0c02c86b558d,SM-G800M Build/KOT49H | chrome 63.0 for android
DEV-0c1ec7fd3825,SM-A720F Build/NRD90M | chrome 65.0 for android
DEV-0c2b4220cdd0,Windows | Windows 10 | chrome 64.0 | 1366x768
DEV-0c2f5f1830f4,Trident/7.0 | Windows 8.1 | ie 11.0 for desktop
DEV-0c5e5600074e,M4 SS4450 Build/MRA58K | chrome 52.0 for android
DEV-0ce87487b195,SM-J120H Build/LMY47V | chrome 59.0 for android
DEV-0cee16936ad0,LG-D693n Build/LRX22G | chrome 65.0 for android
DEV-0d038e9ad2b2,5054S Build/LMY47V | chrome 62.0 for android
DEV-0d0f5da3e8c6,Moto C Build/NRD90M.063 | chrome 62.0 for android
DEV-0d5b32ff6b7b,LG-K410 Build/LRX22G | chrome 63.0 for android
DEV-0d645ea588fc,4047G Build/NRD90M | chrome 64.0 for android
DEV-0d71b0e4c3e6,SAMSUNG SM-G920P Build/NRD90M | Android 7.0 | samsung browser 6.2 | 2560x1440
DEV-0d76ad4772af,BLADE V8 Build/NRD90M | chrome 58.0 for android
DEV-0d7cc7c8983d,SM-P550 Build/NMF26X | chrome 63.0 for android
DEV-0d93e6a9b4aa,CHC-U03 Build/HuaweiCHC-U03 | chrome 59.0 for android
DEV-0da84f240edd,F3313 Build/37.0.A.2.108 | chrome 63.0 for android
DEV-0ddb1d326547,SM-G928G Build/NRD90M | chrome 65.0 for android
DEV-0de11c46d9d6,moto x4 Build/NPW26.83-42 | chrome 63.0 for android
DEV-0e008b69a1d9,5010G Build/MRA58K | chrome 65.0 for android
DEV-0e0fc4f82636,LG-D693n Build/LRX22G | chrome 63.0 for android
DEV-0e268b8496c5,GRACE | chrome 65.0 for android
DEV-0e26a228faf3,Windows | chrome 55.0
DEV-0eb9bc1d264b,TA-1039 Build/NMF26F | chrome 63.0 for android
DEV-0ec59a67ecd3,firefox 57.0
DEV-0f1a332e9ebb,MacOS | Mac OS X 10_13_2 | chrome 63.0 | 2880x1800
DEV-0f1a702e7592,5012G Build/MRA58K | chrome 63.0 for android
DEV-0f412a5fb572,SM-G930F Build/NRD90M | chrome 62.0 for android
DEV-0f4f9ad8c069,VKY-L09 Build/HUAWEIVKY-L09 | chrome 63.0 for android
DEV-0f614d8ccd3c,SM-G935F Build/NRD90M | chrome 63.0 for android
DEV-0f6ee6f894b1,XT1635-02 Build/NPN26.118-22-2 | chrome 57.0 for android
DEV-0fb29f8fb1ac,iris702 | chrome 63.0 for android
DEV-0fd1b2e25d86,Ilium X520 Build/NRD90M | chrome 64.0 for android
DEV-0fde65dfcbe4,E5506 | chrome 65.0 for android
DEV-0ff1e86536c3,SM-T230 Build/KOT49H | chrome 64.0 for android
DEV-0ff347c4a5bf,Hisense | chrome 63.0 for android
DEV-0ff58805a623,MDDRJS | Windows 7 | ie 11.0 for desktop | 1024x768
DEV-10192bbefb16,Ilium L910 Build/MRA58K | chrome 65.0 for android
DEV-101fee004097,SM-G955F Build/R16NW | chrome generic for android
DEV-104a48796563,Windows | Windows 7 | chrome 65.0 | 1280x1024
DEV-105cda43b934,SLA-L03 Build/HUAWEISLA-L03 | chrome 65.0 for android
DEV-1070791e61e8,LG-M700 Build/NMF26X | chrome 58.0 for android
DEV-108afbed533c,Windows | Windows 10 | edge 16.0
