id,domain
EMAIL-6d8c8eb6c5c8,aim.com
EMAIL-601679140412,anonymous.com
EMAIL-b71ecbccbf34,aol.com
EMAIL-8b942685451d,att.net
EMAIL-5a7e696acd63,bellsouth.net
EMAIL-54b47bd89cf6,cableone.net
EMAIL-e051648164f8,cfl.rr.com
EMAIL-1275669f6557,charter.net
EMAIL-0df48815e896,comcast.net
EMAIL-94f19eddc52f,cox.net
EMAIL-7a25e3eb5ad0,earthlink.net
EMAIL-b615162b121d,embarqmail.com
EMAIL-e867c7c6bcd4,frontier.com
EMAIL-f6344456ed96,frontiernet.net
EMAIL-71011165e6f4,gmail
EMAIL-526472e87484,gmail.com
EMAIL-9b83605c656f,gmx.de
EMAIL-6617a7d96b17,hotmail.co.uk
EMAIL-7db8006395b7,hotmail.com
EMAIL-ec599facad20,hotmail.de
EMAIL-023f08585708,hotmail.es
EMAIL-0845c59ff0b1,hotmail.fr
EMAIL-dfe6a9c7c1a5,icloud.com
EMAIL-c610055e5ed8,juno.com
EMAIL-662b3791aebd,live.com
EMAIL-2c6b2b02a48e,live.com.mx
EMAIL-ddd29d9009e4,live.fr
EMAIL-9f7909255943,mac.com
EMAIL-1221ee4a23d4,mail.com
EMAIL-83e81c0f7766,me.com
EMAIL-000db143c437,msn.com
EMAIL-b2683a414714,netzero.com
EMAIL-e7607c4635b9,netzero.net
EMAIL-3a8e7c5c8069,optonline.net
EMAIL-a45016f2e246,outlook.com
EMAIL-7eeee5f261e7,outlook.es
EMAIL-f757a40fae92,prodigy.net.mx
EMAIL-d8fc56fc7cd3,protonmail.com
EMAIL-55d820fb6df4,ptd.net
EMAIL-023b965c6243,q.com
EMAIL-47b8593a2f1d,rocketmail.com
EMAIL-5a343157d535,sbcglobal.net
EMAIL-fcfba35dc44c,scranton.edu
EMAIL-5cac1ed1c3bd,verizon.net
EMAIL-d49ef073fa47,web.de
EMAIL-5c6241391e67,windstream.net
EMAIL-05c3ae107b3d,yahoo.com
EMAIL-01cc9250b615,yahoo.com.mx
EMAIL-b1be8c968bc2,yahoo.es
EMAIL-84014014575f,yahoo.fr
EMAIL-d1684fe68050,ymail.com
