id,benchmark_no,pattern,status
HHG-001,1,undetermined,new
HHG-002,2,undetermined,new
HHG-003,3,undetermined,new
HHG-004,4,undetermined,new
HHG-005,5,undetermined,new
HHG-006,6,undetermined,new
HHG-007,7,undetermined,new
HHG-008,8,undetermined,new
HHG-009,9,undetermined,new
HHG-010,10,undetermined,new
HHG-011,11,undetermined,new
HHG-012,12,undetermined,new
HHG-013,13,undetermined,new
HHG-014,14,undetermined,new
HHG-015,15,undetermined,new
HHG-016,16,undetermined,new
HHG-017,17,undetermined,new
HHG-018,18,undetermined,new
HHG-019,19,undetermined,new
HHG-020,20,undetermined,new
