id,region_code
REG-100,100
REG-106,106
REG-110,110
REG-122,122
REG-123,123
REG-126,126
REG-130,130
REG-143,143
REG-146,146
REG-148,148
REG-155,155
REG-157,157
REG-158,158
REG-161,161
REG-167,167
REG-170,170
REG-177,177
REG-178,178
REG-181,181
REG-184,184
REG-191,191
REG-194,194
REG-202,202
REG-203,203
REG-204,204
REG-205,205
REG-210,210
REG-213,213
REG-216,216
REG-220,220
REG-225,225
REG-226,226
REG-231,231
REG-239,239
REG-242,242
REG-251,251
REG-253,253
REG-254,254
REG-258,258
REG-264,264
REG-269,269
REG-272,272
REG-284,284
REG-294,294
REG-299,299
REG-308,308
REG-310,310
REG-315,315
REG-324,324
REG-325,325
REG-327,327
REG-330,330
REG-332,332
REG-337,337
REG-343,343
REG-346,346
REG-348,348
REG-359,359
REG-374,374
REG-375,375
REG-382,382
REG-384,384
REG-387,387
REG-391,391
REG-393,393
REG-410,410
REG-411,411
REG-418,418
REG-420,420
REG-428,428
REG-429,429
REG-431,431
REG-432,432
REG-433,433
REG-436,436
REG-441,441
REG-444,444
REG-448,448
REG-453,453
REG-465,465
REG-469,469
REG-472,472
REG-476,476
REG-478,478
REG-479,479
REG-483,483
REG-485,485
REG-486,486
REG-492,492
REG-494,494
REG-496,496
REG-498,498
REG-499,499
REG-501,501
REG-502,502
REG-508,508
REG-511,511
REG-512,512
REG-520,520
REG-536,536
