id,amount,ts,product_cd,channel,risk_score,card1,card5,addr1,addr2,p_emaildomain,r_emaildomain
3000008,14.38,2016-07-02 00:06:21,C,online,0.02,21363.0,138.0,,,gmail.com,gmail.com
3000016,28.67,2016-07-02 00:11:07,C,online,0.82,21363.0,138.0,,,hotmail.com,hotmail.com
3000020,17.92,2016-07-02 00:14:10,C,online,0.07,21363.0,138.0,,,hotmail.com,hotmail.com
3000041,7.05,2016-07-02 00:32:34,C,online,0.09,21363.0,138.0,,,gmail.com,gmail.com
3000053,117.01,2016-07-02 00:39:20,W,in_person,0.05,19248.0,226.0,330.0,87.0,hotmail.com,
3000057,18.25,2016-07-02 00:40:53,C,online,0.21,21363.0,138.0,,,hotmail.com,hotmail.com
3000061,78.45,2016-07-02 00:42:31,C,online,0.03,10114.0,102.0,,,gmail.com,gmail.com
3000078,23.36,2016-07-02 00:54:56,C,online,0.15,21363.0,138.0,,,hotmail.com,hotmail.com
3000079,38.8,2016-07-02 00:54:57,C,online,0.23,21363.0,138.0,,,hotmail.com,hotmail.com
3000093,17.17,2016-07-02 01:01:12,C,online,0.31,21363.0,138.0,,,hotmail.com,hotmail.com
3000110,19.97,2016-07-02 01:11:03,W,in_person,0.19,19248.0,226.0,325.0,87.0,gmail.com,
3000113,23.37,2016-07-02 01:14:03,C,online,0.23,21363.0,138.0,,,hotmail.com,hotmail.com
3000114,51.96,2016-07-02 01:14:07,C,online,0.05,21363.0,138.0,,,hotmail.com,hotmail.com
3000123,8.13,2016-07-02 01:18:00,C,online,0.63,21363.0,138.0,,,hotmail.com,hotmail.com
3000127,75.31,2016-07-02 01:20:30,C,online,0.11,21363.0,138.0,,,gmail.com,gmail.com
3000164,15.68,2016-07-02 01:49:56,C,online,0.1,21363.0,138.0,,,hotmail.com,hotmail.com
3000172,19.17,2016-07-02 01:59:13,C,online,0.57,21363.0,138.0,,,gmail.com,gmail.com
3000190,32.36,2016-07-02 02:19:56,C,online,0.68,21363.0,138.0,,,gmail.com,gmail.com
3000197,15.31,2016-07-02 02:27:13,C,online,0.01,21363.0,138.0,,,gmail.com,gmail.com
3000204,7.31,2016-07-02 02:33:09,C,online,0.1,21363.0,138.0,,,gmail.com,gmail.com
3000217,28.41,2016-07-02 02:42:30,C,online,0.28,21363.0,138.0,,,gmail.com,gmail.com
3000232,8.09,2016-07-02 02:53:29,C,online,0.09,21363.0,138.0,,,hotmail.com,hotmail.com
3000242,14.46,2016-07-02 03:04:11,C,online,0.13,21363.0,138.0,,,hotmail.com,hotmail.com
3000260,58.99,2016-07-02 03:34:17,W,in_person,0.19,19248.0,226.0,325.0,87.0,hotmail.com,
3000274,12.41,2016-07-02 03:57:01,C,online,0.67,21363.0,138.0,,,hotmail.com,hotmail.com
3000280,12.39,2016-07-02 04:05:53,C,online,0.04,21363.0,138.0,,,hotmail.com,hotmail.com
3000305,12.6,2016-07-02 04:49:23,C,online,0.13,21363.0,138.0,,,gmail.com,gmail.com
3000314,13.5,2016-07-02 05:05:15,C,online,0.02,21363.0,138.0,,,hotmail.com,hotmail.com
3000321,35.64,2016-07-02 05:23:59,C,online,0.44,21363.0,138.0,,,hotmail.com,hotmail.com
3000322,9.62,2016-07-02 05:24:55,C,online,0.14,21363.0,138.0,,,gmail.com,gmail.com
3000377,116.93,2016-07-02 06:43:06,W,in_person,0.03,19248.0,226.0,325.0,87.0,,
3000381,38.63,2016-07-02 06:49:29,C,online,0.04,21363.0,138.0,,,hotmail.com,hotmail.com
3000429,250.08,2016-07-02 07:54:03,W,in_person,0.14,19248.0,226.0,325.0,87.0,gmail.com,
3000487,223.94,2016-07-02 10:39:45,W,in_person,0.03,19248.0,226.0,325.0,87.0,yahoo.com,
3000513,50.04,2016-07-02 12:00:04,W,in_person,0.33,19248.0,226.0,325.0,87.0,,
3000519,15.72,2016-07-02 12:09:27,C,online,0.07,21363.0,138.0,,,outlook.com,outlook.com
3000523,100.05,2016-07-02 12:16:12,W,in_person,0.03,19248.0,226.0,325.0,87.0,hotmail.com,
3000529,19.91,2016-07-02 12:26:56,W,in_person,0.07,19248.0,226.0,325.0,87.0,gmail.com,
3000601,44.05,2016-07-02 13:30:46,W,in_person,0.04,19248.0,226.0,325.0,87.0,gmail.com,
3000607,442.92,2016-07-02 13:34:01,W,in_person,0.91,12947.0,166.0,204.0,87.0,gmail.com,
3000623,87.93,2016-07-02 13:41:07,W,in_person,0.06,19248.0,226.0,325.0,87.0,gmail.com,
3000659,170.96,2016-07-02 14:05:01,W,in_person,0.16,19248.0,226.0,325.0,87.0,,
3000664,75.04,2016-07-02 14:09:29,W,in_person,0.11,19248.0,226.0,204.0,87.0,gmail.com,
3000667,109.01,2016-07-02 14:10:52,W,in_person,0.2,19248.0,226.0,126.0,87.0,gmail.com,
3000670,77.04,2016-07-02 14:12:33,W,in_person,0.01,19248.0,226.0,325.0,87.0,gmail.com,
3000704,312.02,2016-07-02 14:31:06,W,in_person,0.04,19248.0,226.0,325.0,87.0,icloud.com,
3000706,116.92,2016-07-02 14:32:12,W,in_person,0.09,19248.0,226.0,325.0,87.0,hotmail.com,
3000713,100.07,2016-07-02 14:40:32,W,in_person,0.12,19248.0,226.0,325.0,87.0,,
3000736,30.57,2016-07-02 14:52:04,C,online,0.04,21363.0,138.0,,,icloud.com,icloud.com
3000742,110.04,2016-07-02 14:55:05,W,in_person,0.01,19248.0,226.0,330.0,87.0,aol.com,
3000751,99.92,2016-07-02 14:58:42,W,in_person,0.22,22756.0,117.0,264.0,87.0,yahoo.com,
3000760,37.97,2016-07-02 15:01:52,W,in_person,0.13,12947.0,166.0,184.0,87.0,gmail.com,
3000770,116.93,2016-07-02 15:07:35,W,in_person,0.04,22756.0,117.0,264.0,87.0,yahoo.com,
3000798,100.0,2016-07-02 15:19:51,W,in_person,0.07,22756.0,117.0,264.0,87.0,yahoo.com,
3000805,67.17,2016-07-02 15:23:06,C,online,0.04,21363.0,138.0,,,gmail.com,gmail.com
3000814,117.09,2016-07-02 15:26:31,W,in_person,0.37,19248.0,226.0,325.0,87.0,anonymous.com,
3000815,104.13,2016-07-02 15:27:22,C,online,0.07,21363.0,138.0,,,gmail.com,gmail.com
3000855,160.06,2016-07-02 15:47:57,W,in_person,0.28,19248.0,226.0,325.0,87.0,,
3000902,108.47,2016-07-02 16:06:18,W,in_person,0.1,22606.0,226.0,330.0,87.0,gmail.com,
3000932,87.0,2016-07-02 16:22:01,C,online,0.1,21363.0,138.0,,,gmail.com,gmail.com
3000943,19.95,2016-07-02 16:26:15,H,online,0.76,19248.0,226.0,126.0,87.0,hotmail.com,hotmail.com
3000945,85.14,2016-07-02 16:26:47,C,online,0.07,21363.0,138.0,,,outlook.com,outlook.com
3000948,312.0,2016-07-02 16:27:28,W,in_person,0.02,22756.0,117.0,264.0,87.0,,
3000960,15.64,2016-07-02 16:30:58,C,online,0.58,21363.0,138.0,,,gmail.com,gmail.com
3000962,107.89,2016-07-02 16:32:39,W,in_person,0.12,19248.0,226.0,325.0,87.0,gmail.com,
3001000,432.91,2016-07-02 16:50:59,W,in_person,0.08,19248.0,226.0,325.0,87.0,hotmail.com,
3001027,34.29,2016-07-02 17:01:29,C,online,0.07,21363.0,138.0,,,gmail.com,gmail.com
3001053,29.46,2016-07-02 17:10:49,W,in_person,0.12,19248.0,226.0,325.0,87.0,,
3001089,14.91,2016-07-02 17:27:32,H,online,0.22,19248.0,226.0,325.0,87.0,yahoo.com,yahoo.com
3001098,39.96,2016-07-02 17:31:07,H,online,0.45,19248.0,226.0,126.0,87.0,verizon.net,
3001102,18.46,2016-07-02 17:33:10,C,online,0.29,21363.0,138.0,,,hotmail.com,hotmail.com
3001111,117.03,2016-07-02 17:39:40,W,in_person,0.23,19248.0,226.0,325.0,87.0,aol.com,
3001172,25.06,2016-07-02 17:59:52,H,online,0.09,19248.0,226.0,325.0,87.0,yahoo.com,gmail.com
3001176,24.92,2016-07-02 18:01:15,H,online,0.29,19248.0,226.0,325.0,87.0,yahoo.com,gmail.com
3001211,107.02,2016-07-02 18:16:26,W,in_person,0.24,12947.0,166.0,272.0,87.0,gmail.com,
3001232,108.02,2016-07-02 18:21:50,W,in_person,0.03,19248.0,226.0,,,,
3001265,99.96,2016-07-02 18:35:19,W,in_person,0.02,19248.0,226.0,325.0,87.0,gmail.com,
3001283,10.12,2016-07-02 18:42:07,C,online,0.06,21363.0,138.0,,,anonymous.com,anonymous.com
3001294,340.0,2016-07-02 18:46:01,W,in_person,0.2,22756.0,117.0,264.0,87.0,gmail.com,
3001307,17.16,2016-07-02 18:50:53,C,online,0.11,21363.0,138.0,,,hotmail.com,hotmail.com
3001309,59.99,2016-07-02 18:51:31,W,in_person,0.05,19248.0,226.0,325.0,87.0,anonymous.com,
3001318,29.93,2016-07-02 18:56:30,W,in_person,0.29,19248.0,226.0,325.0,87.0,ymail.com,
3001332,156.08,2016-07-02 19:01:33,W,in_person,0.04,19248.0,226.0,325.0,87.0,,
3001344,15.09,2016-07-02 19:05:05,W,in_person,0.01,19248.0,226.0,126.0,87.0,gmail.com,
3001346,30.01,2016-07-02 19:06:25,W,in_person,0.12,19248.0,226.0,325.0,87.0,gmail.com,
3001360,39.92,2016-07-02 19:13:11,W,in_person,0.1,19248.0,226.0,325.0,87.0,gmail.com,
3001386,33.11,2016-07-02 19:21:11,C,online,0.28,21363.0,138.0,,,hotmail.com,hotmail.com
3001393,14.98,2016-07-02 19:24:14,H,online,0.13,19248.0,226.0,325.0,87.0,gmail.com,anonymous.com
3001433,80.47,2016-07-02 19:35:55,C,online,0.05,21363.0,138.0,,,hotmail.com,hotmail.com
3001457,49.97,2016-07-02 19:47:49,W,in_person,0.23,19248.0,226.0,325.0,87.0,,
3001460,75.02,2016-07-02 19:48:07,W,in_person,0.03,19248.0,226.0,325.0,87.0,,
3001502,31.41,2016-07-02 20:07:48,C,online,0.01,21363.0,138.0,,,anonymous.com,anonymous.com
3001522,29.32,2016-07-02 20:17:14,C,online,0.1,21363.0,138.0,,,hotmail.com,hotmail.com
